id;book_title;writer_name;page_number;edition_number;description;start_date;deadline;archive
1;Korporativni;Synchronised Ergonomic;41491;89404;komercijalni;2023-05-18;2023-05-19;true
2;compress back-end;Reunion implementacijski wireless;83213;93331;Senior;2023-05-18;2023-05-18;true
3;SCSI supply-chains;Borders Utah;17690;27939;object-oriented Account;2023-05-18;2023-05-19;true
4;Computer Pines deliverables;Benin agent Gloves;26495;13090;Kansas European Games;2023-05-19;2023-05-18;true
5;Wooden;Streets Idaho Lake;70713;63930;Neck applications;2023-05-18;2023-05-18;true
6;parse Maryland generate;Buckinghamshire;77553;88670;Tasty Practical računovodstveni;2023-05-19;2023-05-19;true
7;računovodstveni static;Hat;35807;86014;Gloves lime Arabija;2023-05-19;2023-05-18;true
8;back-end Connecticut Account;administrator Glavni program;52041;46915;Awesome Incredible;2023-05-18;2023-05-18;false
9;payment primary;synthesize wireless;74040;49331;Bike;2023-05-18;2023-05-19;true
10;haptic organizator Market;Regionalni invoice;9635;74925;wireless paradigms;2023-05-18;2023-05-19;false
